ts	phase	decision	why	evidence	result
2026-09-10T17:33:55Z	frame	Defined four storage POCs and standalone/three-process TCP matrices	Prior small-installation recommendation has no measurements; compare actual durable batches before choosing a high-volume layout	poc/CONTRACT.md	Scope fixed; runtime results pending
2026-09-10T17:33:55Z	design	Use a fixed-leader replication experiment, not custom Raft	Separate the empirical fan-out cost from consensus correctness; do not imply elections or HA from a throughput experiment	poc/README.md	Production HA remains outside the POC claim
2026-09-10T17:34:41Z	harness	Added serial workload orchestration, raw latency retention, reopened payload audits, and summary gates	Measurements need a rerunnable contract that rejects missing bytes and bookmarks rather than trusting live counters	poc/scripts/run.py	Python evidence assertions pass; runtime integration pending
2026-09-10T18:05:56Z	normalization	Rejected initial engine ranking and enabled RocksDB full synchronization on macOS	Rust used F_FULLFSYNC but the bundled C++ build used plain fsync; the faster result changed the durability contract	evidence/durability-review.md	Initial smoke is correctness-only; rebuild and rerun required
2026-09-10T18:13:36Z	gate	Completed normalized smoke runs and all workspace correctness tests	Actual reopened bytes and retained bookmark positions must agree before measuring speed	evidence/smoke-normalized/run.json	8 smoke configurations verified; 30 Rust and 4 Python tests passed
2026-09-10T18:14:55Z	gate	Aborted the first main run when its executable exposed the old bookmark limit	A source-level test pass did not prove the release executable was current; add a build-before-run gate	evidence/main-normalized/INTERPRETATION.md	No failed-run data used in rankings
2026-09-10T18:21:59Z	measurements	Completed 72 normalized trials across four stores and one/three-node configurations	Measure the original redb preference against actual full-synchronization batching and sharding results	evidence/main-v2/summary.csv	Fjall leads the tested 128-record three-node cases; all reopened replica audits matched
2026-09-10T18:21:59Z	evolution	Expanded Fjall and RocksDB to 1/2/4/8 shards and 128/512-record batches	The first matrix shows batching and independent writer paths matter; measure their configuration tradeoff with longer repeats	evidence/scale-v1/arguments.json	Longer repeated experiment running
2026-09-10T18:30:08Z	sustained	Stopped sustained matrix when Fjall lost its fixed-leader acknowledgement quorum	At about 39 MiB per shard, multi-second stalls exceeded the peer deadline; a success-only summary would hide the failure	evidence/sustained-v1/run.json	NOT VERIFIED: preserve the negative result and investigate
2026-09-10T18:42:26Z	review	Strengthened failure evidence gates and source preservation	Require an explicit zero-ack quorum rejection and verify the prefix digest even when an unacknowledged tail exists; keep failed scratch and reproducible sources	poc/scripts/test_run.py	Six Python evidence tests passed; source checkpoint captured
2026-09-10T18:51:31Z	evidence	Reconciled the failure artifacts with stronger zero-ack and prefix-digest gates	A nonzero exit or a longer recovered tail alone was not enough evidence	evidence/failure-gate-recheck.json	All four historical failure scenarios satisfy the stronger assertions
2026-09-10T18:51:31Z	measurements	Completed scaling, message-size, and all planned sustained observations including the failed attempt	Record sizes change the storage ranking; preserve the failure instead of pooling only successful rates	docs/experiments/high-volume.md	138 successful short/scale/size trials; sustained Fjall 2 successes and 1 failure, RocksDB 3 successes
2026-09-10T18:53:22Z	design	Replaced the small-installation global-writer proposal with a high-volume sharded LSM direction	Measured batching and writer-path scaling favor LSM finalists, while sustained failures and message-size results prevent a universal winner claim	docs/design/proposal.md	Updated proposal; original preserved as initial-proposal.md
2026-09-10T18:53:22Z	isolation	Added a controlled slow-follower admission experiment	Blocking enqueue to every bounded peer queue can throttle a healthy majority; compare isolation without weakening durable acknowledgement	poc/README.md	Implementation and targeted test in progress
2026-09-10T18:57:18Z	selection	Prefer RocksDB for the next high-volume baseline, with Fjall retained as a challenger	At the largest five-second configuration RocksDB kept about 96 percent of throughput with much lower batch p99; larger records and sustained completion also favor caution	docs/experiments/high-volume.md	Provisional next-iteration choice, not production certification
2026-09-10T18:57:18Z	comments	Removed one redundant segment-repair comment after independent comment review	The committed extent checks and diagnostic already express the rule; no runtime behavior changed	poc/storage/src/segment.rs	One comment removed; original source preserved in source-checkpoint
2026-09-10T19:14:40Z	isolation	Completed six real-node slow-minority comparisons and preserved durable majority rejection	Nonblocking isolation removes the all-peer queue coupling while retaining local plus follower durability; excluded peer has no catch-up claim	evidence/slow-peer-v1/run.json	Three repeats per policy passed; controlled completion about 0.245s versus 4.920s
2026-09-10T19:14:40Z	final-gates	Repeated all backend topologies and failure scenarios after the isolation change	Check the final executable and stronger evidence assertions, not just the baseline source	evidence/smoke-final/run.json,evidence/failures-v2/run.json,evidence/test-workspace.stdout.log,evidence/test-python.stderr.log	Final runtime and unit-test gates passed
2026-09-10T19:28:24Z	handoff	Completed independent final evidence review and left no POC servers or scratch data running	The reviewer reconciled all six isolation results and the zero-ack failure evidence; remaining limits stay explicit	evidence/review.md	VERIFIED for the stated POC boundary; production HA and original sustained failure remain open
